id	confirmed	deaths	recovered	date	url	pays
109	223	11	44	2020-03-30	ALB	Albania
110	634	27	356	2020-04-22	ALB	Albania
111	0	0	0	2020-03-08	ALB	Albania
112	0	0	0	2020-02-17	ALB	Albania
113	518	26	277	2020-04-16	ALB	Albania
114	361	20	104	2020-04-05	ALB	Albania
115	0	0	0	2020-01-31	ALB	Albania
116	548	26	302	2020-04-18	ALB	Albania
117	0	0	0	2020-01-25	ALB	Albania
118	0	0	0	2020-03-04	ALB	Albania
119	0	0	0	2020-01-30	ALB	Albania
120	0	0	0	2020-02-09	ALB	Albania
121	64	2	0	2020-03-19	ALB	Albania
122	0	0	0	2020-02-19	ALB	Albania
123	0	0	0	2020-01-27	ALB	Albania
124	38	1	0	2020-03-14	ALB	Albania
125	416	23	182	2020-04-10	ALB	Albania
126	0	0	0	2020-03-02	ALB	Albania
127	584	26	327	2020-04-20	ALB	Albania
128	55	1	0	2020-03-17	ALB	Albania
129	277	16	76	2020-04-02	ALB	Albania
130	0	0	0	2020-01-26	ALB	Albania
131	76	2	2	2020-03-21	ALB	Albania
132	123	5	10	2020-03-24	ALB	Albania
133	197	10	31	2020-03-28	ALB	Albania
134	0	0	0	2020-02-13	ALB	Albania
135	0	0	0	2020-02-21	ALB	Albania
136	0	0	0	2020-01-23	ALB	Albania
137	146	5	17	2020-03-25	ALB	Albania
138	0	0	0	2020-02-16	ALB	Albania
139	174	6	17	2020-03-26	ALB	Albania
140	0	0	0	2020-02-20	ALB	Albania
141	0	0	0	2020-02-14	ALB	Albania
142	409	23	165	2020-04-09	ALB	Albania
143	377	21	116	2020-04-06	ALB	Albania
144	12	1	0	2020-03-11	ALB	Albania
145	0	0	0	2020-02-25	ALB	Albania
146	467	23	232	2020-04-13	ALB	Albania
147	0	0	0	2020-02-06	ALB	Albania
148	104	4	2	2020-03-23	ALB	Albania
149	0	0	0	2020-02-04	ALB	Albania
150	212	10	33	2020-03-29	ALB	Albania
151	51	1	0	2020-03-16	ALB	Albania
152	0	0	0	2020-02-18	ALB	Albania
153	0	0	0	2020-01-24	ALB	Albania
154	42	1	0	2020-03-15	ALB	Albania
155	23	1	0	2020-03-12	ALB	Albania
156	0	0	0	2020-03-06	ALB	Albania
157	0	0	0	2020-02-07	ALB	Albania
158	0	0	0	2020-03-01	ALB	Albania
159	333	20	99	2020-04-04	ALB	Albania
160	678	27	394	2020-04-24	ALB	Albania
161	0	0	0	2020-01-28	ALB	Albania
162	0	0	0	2020-02-12	ALB	Albania
163	494	25	251	2020-04-15	ALB	Albania
164	186	8	31	2020-03-27	ALB	Albania
165	383	22	131	2020-04-07	ALB	Albania
166	0	0	0	2020-02-10	ALB	Albania
167	0	0	0	2020-03-07	ALB	Albania
168	0	0	0	2020-02-26	ALB	Albania
169	304	17	89	2020-04-03	ALB	Albania
170	0	0	0	2020-03-05	ALB	Albania
171	89	2	2	2020-03-22	ALB	Albania
172	259	15	67	2020-04-01	ALB	Albania
173	0	0	0	2020-01-29	ALB	Albania
174	0	0	0	2020-02-24	ALB	Albania
175	70	2	0	2020-03-20	ALB	Albania
176	33	1	0	2020-03-13	ALB	Albania
177	663	27	385	2020-04-23	ALB	Albania
178	243	15	52	2020-03-31	ALB	Albania
179	0	0	0	2020-02-29	ALB	Albania
180	0	0	0	2020-02-15	ALB	Albania
181	0	0	0	2020-02-23	ALB	Albania
182	0	0	0	2020-02-27	ALB	Albania
183	400	22	154	2020-04-08	ALB	Albania
184	0	0	0	2020-02-05	ALB	Albania
185	539	26	283	2020-04-17	ALB	Albania
186	0	0	0	2020-02-08	ALB	Albania
187	0	0	0	2020-02-03	ALB	Albania
188	0	0	0	2020-02-22	ALB	Albania
189	0	0	0	2020-02-04	DZA	Algeria
190	0	0	0	2020-02-06	DZA	Algeria
191	1825	275	460	2020-04-11	DZA	Algeria
192	0	0	0	2020-02-23	DZA	Algeria
193	0	0	0	2020-02-16	DZA	Algeria
194	0	0	0	2020-02-08	DZA	Algeria
195	87	9	32	2020-03-19	DZA	Algeria
196	1	0	0	2020-02-29	DZA	Algeria
197	454	29	31	2020-03-28	DZA	Algeria
198	1423	173	90	2020-04-06	DZA	Algeria
199	0	0	0	2020-02-03	DZA	Algeria
200	584	35	37	2020-03-30	DZA	Algeria
201	1	0	0	2020-03-01	DZA	Algeria
202	2718	384	1099	2020-04-20	DZA	Algeria
203	1	0	0	2020-02-27	DZA	Algeria
204	17	0	0	2020-03-06	DZA	Algeria
205	511	31	31	2020-03-29	DZA	Algeria
206	54	4	12	2020-03-16	DZA	Algeria
207	302	21	65	2020-03-25	DZA	Algeria
208	0	0	0	2020-02-21	DZA	Algeria
209	0	0	0	2020-02-24	DZA	Algeria
210	0	0	0	2020-01-22	DZA	Algeria
211	1761	256	405	2020-04-10	DZA	Algeria
212	1251	130	90	2020-04-04	DZA	Algeria
213	0	0	0	2020-02-18	DZA	Algeria
214	3127	415	1408	2020-04-24	DZA	Algeria
