id	dep	sexe	jour	actue_hospit	actu_rea	recovered	deaths
1	"01"	0	"2020-03-18"	2	0	1	0
2	"01"	1	"2020-03-18"	1	0	1	0
3	"01"	2	"2020-03-18"	1	0	0	0
4	"02"	0	"2020-03-18"	41	10	18	11
5	"02"	1	"2020-03-18"	19	4	11	6
6	"02"	2	"2020-03-18"	22	6	7	5
7	"03"	0	"2020-03-18"	4	0	1	0
8	"03"	1	"2020-03-18"	1	0	0	0
9	"03"	2	"2020-03-18"	3	0	1	0
10	"04"	0	"2020-03-18"	3	1	2	0
11	"04"	1	"2020-03-18"	3	1	0	0
12	"04"	2	"2020-03-18"	0	0	2	0
13	"05"	0	"2020-03-18"	8	1	9	0
14	"05"	1	"2020-03-18"	1	0	7	0
15	"05"	2	"2020-03-18"	7	1	2	0
16	"06"	0	"2020-03-18"	25	1	47	2
17	"06"	1	"2020-03-18"	15	1	19	0
18	"06"	2	"2020-03-18"	10	0	28	2
19	"07"	0	"2020-03-18"	12	1	0	0
20	"07"	1	"2020-03-18"	7	1	0	0
21	"07"	2	"2020-03-18"	3	0	0	0
22	"08"	0	"2020-03-18"	0	0	1	0
23	"08"	1	"2020-03-18"	0	0	1	0
24	"08"	2	"2020-03-18"	0	0	0	0
25	"09"	0	"2020-03-18"	1	1	2	0
26	"09"	1	"2020-03-18"	0	0	1	0
27	"09"	2	"2020-03-18"	1	1	1	0
28	"10"	0	"2020-03-18"	5	0	0	0
29	"10"	1	"2020-03-18"	4	0	0	0
30	"10"	2	"2020-03-18"	1	0	0	0
31	"11"	0	"2020-03-18"	8	7	9	3
32	"11"	1	"2020-03-18"	6	5	2	2
33	"11"	2	"2020-03-18"	2	2	7	1
34	"12"	0	"2020-03-18"	7	2	1	0
35	"12"	1	"2020-03-18"	3	1	0	0
36	"12"	2	"2020-03-18"	4	1	1	0
37	"13"	0	"2020-03-18"	98	11	59	4
38	"13"	1	"2020-03-18"	50	6	35	2
39	"13"	2	"2020-03-18"	48	5	23	2
40	"14"	0	"2020-03-18"	4	1	0	0
41	"14"	1	"2020-03-18"	3	0	0	0
42	"14"	2	"2020-03-18"	1	1	0	0
43	"15"	0	"2020-03-18"	2	1	0	0
44	"15"	1	"2020-03-18"	2	1	0	0
45	"15"	2	"2020-03-18"	0	0	0	0
46	"16"	0	"2020-03-18"	1	0	0	0
47	"16"	1	"2020-03-18"	0	0	0	0
48	"16"	2	"2020-03-18"	1	0	0	0
49	"17"	0	"2020-03-18"	5	2	2	0
50	"17"	1	"2020-03-18"	5	2	2	0
51	"17"	2	"2020-03-18"	0	0	0	0
52	"18"	0	"2020-03-18"	0	0	0	0
53	"18"	1	"2020-03-18"	0	0	0	0
54	"18"	2	"2020-03-18"	0	0	0	0
55	"19"	0	"2020-03-18"	0	0	0	0
56	"19"	1	"2020-03-18"	0	0	0	0
57	"19"	2	"2020-03-18"	0	0	0	0
58	"21"	0	"2020-03-18"	60	16	4	0
59	"21"	1	"2020-03-18"	30	10	0	0
60	"21"	2	"2020-03-18"	30	6	4	0
61	"22"	0	"2020-03-18"	1	1	3	0
62	"22"	1	"2020-03-18"	1	1	1	0
63	"22"	2	"2020-03-18"	0	0	2	0
64	"23"	0	"2020-03-18"	0	0	0	0
65	"23"	1	"2020-03-18"	0	0	0	0
66	"23"	2	"2020-03-18"	0	0	0	0
67	"24"	0	"2020-03-18"	2	1	1	0
68	"24"	1	"2020-03-18"	1	1	1	0
69	"24"	2	"2020-03-18"	1	0	0	0
70	"25"	0	"2020-03-18"	26	3	8	1
71	"25"	1	"2020-03-18"	15	2	2	1
72	"25"	2	"2020-03-18"	11	1	6	0
73	"26"	0	"2020-03-18"	17	2	0	0
74	"26"	1	"2020-03-18"	10	1	0	0
75	"26"	2	"2020-03-18"	7	1	0	0
76	"27"	0	"2020-03-18"	0	0	0	0
77	"27"	1	"2020-03-18"	0	0	0	0
78	"27"	2	"2020-03-18"	0	0	0	0
79	"28"	0	"2020-03-18"	5	3	0	1
80	"28"	1	"2020-03-18"	1	1	0	1
81	"28"	2	"2020-03-18"	4	2	0	0
82	"29"	0	"2020-03-18"	13	5	3	0
83	"29"	1	"2020-03-18"	8	4	2	0
84	"29"	2	"2020-03-18"	5	1	1	0
85	"2A"	0	"2020-03-18"	0	0	0	0
86	"2A"	1	"2020-03-18"	0	0	0	0
87	"2A"	2	"2020-03-18"	0	0	0	0
88	"2B"	0	"2020-03-18"	0	0	0	0
89	"2B"	1	"2020-03-18"	0	0	0	0
90	"2B"	2	"2020-03-18"	0	0	0	0
91	"30"	0	"2020-03-18"	5	3	6	0
92	"30"	1	"2020-03-18"	5	3	1	0
93	"30"	2	"2020-03-18"	0	0	5	0
94	"31"	0	"2020-03-18"	23	5	11	0
95	"31"	1	"2020-03-18"	15	4	4	0
96	"31"	2	"2020-03-18"	8	1	7	0
97	"32"	0	"2020-03-18"	1	1	0	0
98	"32"	1	"2020-03-18"	1	1	0	0
99	"32"	2	"2020-03-18"	0	0	0	0
100	"33"	0	"2020-03-18"	7	4	3	1
101	"33"	1	"2020-03-18"	5	3	1	0
102	"33"	2	"2020-03-18"	2	1	2	1
103	"34"	0	"2020-03-18"	37	15	18	2
104	"34"	1	"2020-03-18"	18	7	9	1
105	"34"	2	"2020-03-18"	18	7	9	1
106	"35"	0	"2020-03-18"	7	3	0	0
107	"35"	1	"2020-03-18"	4	2	0	0
108	"35"	2	"2020-03-18"	3	1	0	0
109	"36"	0	"2020-03-18"	0	0	0	0
110	"36"	1	"2020-03-18"	0	0	0	0
111	"36"	2	"2020-03-18"	0	0	0	0
112	"37"	0	"2020-03-18"	4	1	0	0
113	"37"	1	"2020-03-18"	2	1	0	0
114	"37"	2	"2020-03-18"	2	0	0	0
115	"38"	0	"2020-03-18"	18	2	0	1
116	"38"	1	"2020-03-18"	10	1	0	1
117	"38"	2	"2020-03-18"	8	1	0	0
118	"39"	0	"2020-03-18"	2	1	1	0
119	"39"	1	"2020-03-18"	1	0	1	0
120	"39"	2	"2020-03-18"	1	1	0	0
121	"40"	0	"2020-03-18"	0	0	0	0
122	"40"	1	"2020-03-18"	0	0	0	0
123	"40"	2	"2020-03-18"	0	0	0	0
124	"41"	0	"2020-03-18"	0	0	0	0
125	"41"	1	"2020-03-18"	0	0	0	0
126	"41"	2	"2020-03-18"	0	0	0	0
127	"42"	0	"2020-03-18"	31	10	3	1
128	"42"	1	"2020-03-18"	21	9	2	1
129	"42"	2	"2020-03-18"	10	1	1	0
130	"43"	0	"2020-03-18"	1	1	5	0
131	"43"	1	"2020-03-18"	1	1	2	0
132	"43"	2	"2020-03-18"	0	0	3	0
133	"44"	0	"2020-03-18"	18	3	7	1
134	"44"	1	"2020-03-18"	14	3	3	0
135	"44"	2	"2020-03-18"	4	0	4	1
136	"45"	0	"2020-03-18"	5	1	0	0
137	"45"	1	"2020-03-18"	3	1	0	0
138	"45"	2	"2020-03-18"	2	0	0	0
139	"46"	0	"2020-03-18"	0	0	1	0
140	"46"	1	"2020-03-18"	0	0	0	0
141	"46"	2	"2020-03-18"	0	0	1	0
142	"47"	0	"2020-03-18"	10	4	1	0
143	"47"	1	"2020-03-18"	7	4	1	0
144	"47"	2	"2020-03-18"	3	0	0	0
145	"48"	0	"2020-03-18"	1	0	0	0
146	"48"	1	"2020-03-18"	0	0	0	0
147	"48"	2	"2020-03-18"	1	0	0	0
148	"49"	0	"2020-03-18"	12	1	26	0
149	"49"	1	"2020-03-18"	6	1	17	0
150	"49"	2	"2020-03-18"	6	0	9	0
151	"50"	0	"2020-03-18"	7	0	1	0
152	"50"	1	"2020-03-18"	4	0	0	0
153	"50"	2	"2020-03-18"	3	0	1	0
154	"51"	0	"2020-03-18"	35	7	6	1
155	"51"	1	"2020-03-18"	19	4	2	1
156	"51"	2	"2020-03-18"	16	3	4	0
157	"52"	0	"2020-03-18"	4	0	0	1
158	"52"	1	"2020-03-18"	2	0	0	0
159	"52"	2	"2020-03-18"	2	0	0	1
160	"53"	0	"2020-03-18"	4	0	2	0
161	"53"	1	"2020-03-18"	3	0	1	0
162	"53"	2	"2020-03-18"	1	0	1	0
163	"54"	0	"2020-03-18"	42	19	1	5
164	"54"	1	"2020-03-18"	23	13	0	2
165	"54"	2	"2020-03-18"	17	5	1	3
166	"55"	0	"2020-03-18"	11	3	0	0
167	"55"	1	"2020-03-18"	6	1	0	0
168	"55"	2	"2020-03-18"	5	2	0	0
169	"56"	0	"2020-03-18"	39	14	63	7
170	"56"	1	"2020-03-18"	22	10	28	5
171	"56"	2	"2020-03-18"	17	4	35	2
172	"57"	0	"2020-03-18"	169	34	11	16
173	"57"	1	"2020-03-18"	96	26	6	7
174	"57"	2	"2020-03-18"	73	8	5	9
175	"58"	0	"2020-03-18"	0	0	0	0
176	"58"	1	"2020-03-18"	0	0	0	0
177	"58"	2	"2020-03-18"	0	0	0	0
178	"59"	0	"2020-03-18"	106	26	16	3
179	"59"	1	"2020-03-18"	61	19	10	2
180	"59"	2	"2020-03-18"	44	7	6	1
181	"60"	0	"2020-03-18"	94	22	18	6
182	"60"	1	"2020-03-18"	54	16	11	3
183	"60"	2	"2020-03-18"	40	6	7	3
184	"61"	0	"2020-03-18"	4	0	2	0
185	"61"	1	"2020-03-18"	1	0	1	0
186	"61"	2	"2020-03-18"	3	0	1	0
187	"62"	0	"2020-03-18"	22	9	16	0
188	"62"	1	"2020-03-18"	10	6	12	0
189	"62"	2	"2020-03-18"	12	3	4	0
190	"63"	0	"2020-03-18"	10	2	3	0
191	"63"	1	"2020-03-18"	7	2	2	0
192	"63"	2	"2020-03-18"	3	0	1	0
193	"64"	0	"2020-03-18"	5	0	0	0
194	"64"	1	"2020-03-18"	2	0	0	0
195	"64"	2	"2020-03-18"	3	0	0	0
196	"65"	0	"2020-03-18"	0	0	0	0
197	"65"	1	"2020-03-18"	0	0	0	0
198	"65"	2	"2020-03-18"	0	0	0	0
199	"66"	0	"2020-03-18"	9	5	1	0
200	"66"	1	"2020-03-18"	7	4	0	0
201	"66"	2	"2020-03-18"	2	1	1	0
202	"67"	0	"2020-03-18"	210	58	4	15
203	"67"	1	"2020-03-18"	108	37	3	7
204	"67"	2	"2020-03-18"	99	21	1	8
205	"68"	0	"2020-03-18"	371	77	116	74
206	"68"	1	"2020-03-18"	203	50	67	38
207	"68"	2	"2020-03-18"	164	27	47	35
208	"69"	0	"2020-03-18"	36	8	10	0
209	"69"	1	"2020-03-18"	14	1	4	0
210	"69"	2	"2020-03-18"	12	5	6	0
211	"70"	0	"2020-03-18"	14	4	2	0
212	"70"	1	"2020-03-18"	7	2	0	0
213	"70"	2	"2020-03-18"	7	2	2	0
214	"71"	0	"2020-03-18"	35	0	4	5
215	"71"	1	"2020-03-18"	13	0	2	3
216	"71"	2	"2020-03-18"	22	0	2	2
217	"72"	0	"2020-03-18"	9	0	1	0
218	"72"	1	"2020-03-18"	3	0	0	0
219	"72"	2	"2020-03-18"	6	0	1	0
220	"73"	0	"2020-03-18"	8	0	3	0
221	"73"	1	"2020-03-18"	2	0	2	0
222	"73"	2	"2020-03-18"	6	0	1	0
223	"74"	0	"2020-03-18"	31	8	43	5
224	"74"	1	"2020-03-18"	15	5	24	2
225	"74"	2	"2020-03-18"	9	0	18	3
226	"75"	0	"2020-03-18"	359	105	40	14
227	"75"	1	"2020-03-18"	217	70	22	10
228	"75"	2	"2020-03-18"	139	35	18	4
229	"76"	0	"2020-03-18"	30	3	3	3
230	"76"	1	"2020-03-18"	17	2	1	3
231	"76"	2	"2020-03-18"	13	1	2	0
232	"77"	0	"2020-03-18"	25	13	10	0
233	"77"	1	"2020-03-18"	15	12	6	0
234	"77"	2	"2020-03-18"	10	1	4	0
235	"78"	0	"2020-03-18"	69	18	5	5
236	"78"	1	"2020-03-18"	34	11	2	4
237	"78"	2	"2020-03-18"	35	7	3	1
238	"79"	0	"2020-03-18"	2	1	2	0
239	"79"	1	"2020-03-18"	1	1	1	0
240	"79"	2	"2020-03-18"	1	0	1	0
241	"80"	0	"2020-03-18"	50	20	9	1
242	"80"	1	"2020-03-18"	27	12	5	0
243	"80"	2	"2020-03-18"	22	8	4	1
244	"81"	0	"2020-03-18"	2	0	2	0
245	"81"	1	"2020-03-18"	1	0	2	0
246	"81"	2	"2020-03-18"	1	0	0	0
247	"82"	0	"2020-03-18"	1	0	0	1
248	"82"	1	"2020-03-18"	0	0	0	1
249	"82"	2	"2020-03-18"	1	0	0	0
250	"83"	0	"2020-03-18"	23	7	78	0
251	"83"	1	"2020-03-18"	12	6	39	0
252	"83"	2	"2020-03-18"	11	1	39	0
253	"84"	0	"2020-03-18"	9	3	7	1
254	"84"	1	"2020-03-18"	4	2	6	0
255	"84"	2	"2020-03-18"	5	1	1	1
256	"85"	0	"2020-03-18"	1	0	0	0
257	"85"	1	"2020-03-18"	0	0	0	0
258	"85"	2	"2020-03-18"	1	0	0	0
259	"86"	0	"2020-03-18"	7	0	0	1
260	"86"	1	"2020-03-18"	1	0	0	0
261	"86"	2	"2020-03-18"	6	0	0	1
262	"87"	0	"2020-03-18"	2	0	2	0
263	"87"	1	"2020-03-18"	1	0	0	0
264	"87"	2	"2020-03-18"	1	0	2	0
265	"88"	0	"2020-03-18"	32	6	7	8
266	"88"	1	"2020-03-18"	19	5	2	4
267	"88"	2	"2020-03-18"	13	1	5	4
268	"89"	0	"2020-03-18"	6	0	1	0
269	"89"	1	"2020-03-18"	5	0	1	0
270	"89"	2	"2020-03-18"	1	0	0	0
271	"90"	0	"2020-03-18"	25	9	0	0
272	"90"	1	"2020-03-18"	13	6	0	0
273	"90"	2	"2020-03-18"	12	3	0	0
274	"91"	0	"2020-03-18"	51	16	0	1
275	"91"	1	"2020-03-18"	35	11	0	0
276	"91"	2	"2020-03-18"	16	5	0	1
277	"92"	0	"2020-03-18"	149	48	22	4
278	"92"	1	"2020-03-18"	92	35	12	4
279	"92"	2	"2020-03-18"	55	13	10	0
280	"93"	0	"2020-03-18"	92	33	15	5
281	"93"	1	"2020-03-18"	59	21	9	3
282	"93"	2	"2020-03-18"	33	12	6	2
283	"94"	0	"2020-03-18"	122	32	16	5
284	"94"	1	"2020-03-18"	76	24	15	5
285	"94"	2	"2020-03-18"	44	8	1	0
286	"95"	0	"2020-03-18"	90	29	21	2
287	"95"	1	"2020-03-18"	64	23	8	2
288	"95"	2	"2020-03-18"	25	6	12	0
289	"971"	0	"2020-03-18"	0	0	0	0
290	"971"	1	"2020-03-18"	0	0	0	0
291	"971"	2	"2020-03-18"	0	0	0	0
292	"972"	0	"2020-03-18"	16	5	0	1
293	"972"	1	"2020-03-18"	9	3	0	0
294	"972"	2	"2020-03-18"	7	2	0	1
295	"973"	0	"2020-03-18"	0	0	0	0
296	"973"	1	"2020-03-18"	0	0	0	0
297	"973"	2	"2020-03-18"	0	0	0	0
298	"974"	0	"2020-03-18"	2	2	0	0
299	"974"	1	"2020-03-18"	2	2	0	0
300	"974"	2	"2020-03-18"	0	0	0	0
301	"976"	0	"2020-03-18"	0	0	0	0
302	"976"	1	"2020-03-18"	0	0	0	0
303	"976"	2	"2020-03-18"	0	0	0	0
304	"01"	0	"2020-03-19"	2	0	1	0
305	"01"	1	"2020-03-19"	1	0	1	0
306	"01"	2	"2020-03-19"	1	0	0	0
307	"02"	0	"2020-03-19"	43	15	33	19
308	"02"	1	"2020-03-19"	23	7	16	13
309	"02"	2	"2020-03-19"	20	8	17	6
310	"03"	0	"2020-03-19"	0	0	7	0
311	"03"	1	"2020-03-19"	0	0	2	0
312	"03"	2	"2020-03-19"	0	0	5	0
313	"04"	0	"2020-03-19"	3	1	3	0
314	"04"	1	"2020-03-19"	3	1	1	0
315	"04"	2	"2020-03-19"	0	0	2	0
316	"05"	0	"2020-03-19"	10	1	10	0
317	"05"	1	"2020-03-19"	3	0	8	0
318	"05"	2	"2020-03-19"	7	1	2	0
319	"06"	0	"2020-03-19"	33	5	48	2
320	"06"	1	"2020-03-19"	21	4	19	0
321	"06"	2	"2020-03-19"	11	0	29	2
322	"07"	0	"2020-03-19"	11	2	0	0
323	"07"	1	"2020-03-19"	6	1	0	0
324	"07"	2	"2020-03-19"	3	0	0	0
325	"08"	0	"2020-03-19"	0	0	1	0
326	"08"	1	"2020-03-19"	0	0	1	0
327	"08"	2	"2020-03-19"	0	0	0	0
328	"09"	0	"2020-03-19"	1	1	2	0
329	"09"	1	"2020-03-19"	0	0	1	0
330	"09"	2	"2020-03-19"	1	1	1	0
331	"10"	0	"2020-03-19"	6	1	0	0
332	"10"	1	"2020-03-19"	5	0	0	0
333	"10"	2	"2020-03-19"	1	1	0	0
334	"11"	0	"2020-03-19"	18	11	8	6
335	"11"	1	"2020-03-19"	12	7	2	3
336	"11"	2	"2020-03-19"	6	4	6	3
337	"12"	0	"2020-03-19"	9	2	2	1
338	"12"	1	"2020-03-19"	3	1	0	1
339	"12"	2	"2020-03-19"	6	1	2	0
340	"13"	0	"2020-03-19"	128	20	97	4
341	"13"	1	"2020-03-19"	63	11	54	2
342	"13"	2	"2020-03-19"	65	9	42	2
343	"14"	0	"2020-03-19"	4	1	1	0
344	"14"	1	"2020-03-19"	3	0	0	0
345	"14"	2	"2020-03-19"	1	1	1	0
346	"15"	0	"2020-03-19"	3	1	0	0
347	"15"	1	"2020-03-19"	3	1	0	0
348	"15"	2	"2020-03-19"	0	0	0	0
349	"16"	0	"2020-03-19"	0	0	2	0
350	"16"	1	"2020-03-19"	0	0	1	0
351	"16"	2	"2020-03-19"	0	0	1	0
352	"17"	0	"2020-03-19"	7	2	2	0
353	"17"	1	"2020-03-19"	7	2	2	0
354	"17"	2	"2020-03-19"	0	0	0	0
355	"18"	0	"2020-03-19"	0	0	0	0
356	"18"	1	"2020-03-19"	0	0	0	0
357	"18"	2	"2020-03-19"	0	0	0	0
358	"19"	0	"2020-03-19"	1	0	0	0
359	"19"	1	"2020-03-19"	1	0	0	0
360	"19"	2	"2020-03-19"	0	0	0	0
361	"21"	0	"2020-03-19"	53	19	28	2
362	"21"	1	"2020-03-19"	30	13	9	0
363	"21"	2	"2020-03-19"	23	6	18	2
364	"22"	0	"2020-03-19"	2	1	3	0
365	"22"	1	"2020-03-19"	2	1	1	0
366	"22"	2	"2020-03-19"	0	0	2	0
367	"23"	0	"2020-03-19"	0	0	0	0
368	"23"	1	"2020-03-19"	0	0	0	0
369	"23"	2	"2020-03-19"	0	0	0	0
370	"24"	0	"2020-03-19"	2	1	1	0
371	"24"	1	"2020-03-19"	1	1	1	0
372	"24"	2	"2020-03-19"	1	0	0	0
373	"25"	0	"2020-03-19"	33	11	10	2
374	"25"	1	"2020-03-19"	22	10	2	1
375	"25"	2	"2020-03-19"	11	1	8	1
376	"26"	0	"2020-03-19"	32	8	2	0
377	"26"	1	"2020-03-19"	18	5	1	0
378	"26"	2	"2020-03-19"	14	3	1	0
379	"27"	0	"2020-03-19"	1	1	0	1
380	"27"	1	"2020-03-19"	1	1	0	1
381	"27"	2	"2020-03-19"	0	0	0	0
382	"28"	0	"2020-03-19"	11	4	0	1
383	"28"	1	"2020-03-19"	5	2	0	1
384	"28"	2	"2020-03-19"	6	2	0	0
385	"29"	0	"2020-03-19"	17	5	6	0
386	"29"	1	"2020-03-19"	9	4	3	0
387	"29"	2	"2020-03-19"	8	1	3	0
388	"2A"	0	"2020-03-19"	1	0	1	1
389	"2A"	1	"2020-03-19"	1	0	1	0
390	"2A"	2	"2020-03-19"	0	0	0	1
391	"2B"	0	"2020-03-19"	0	0	0	0
392	"2B"	1	"2020-03-19"	0	0	0	0
